temperature,city,pressure,date
294.87,Berlin,1002,2024-06-17 10:11:05
294.87,Berlin,1002,2024-06-17 10:10:08
294.87,Berlin,1002,2024-06-17 10:09:05
294.83,Berlin,1002,2024-06-17 10:08:04
294.83,Berlin,1002,2024-06-17 10:07:06
294.83,Berlin,1002,2024-06-17 10:06:04
294.83,Berlin,1002,2024-06-17 10:05:39
286.89,London,1007,2024-06-16 22:48:12
288.9,Paris,1009,2024-06-16 22:48:11
290.56,Berlin,1010,2024-06-16 22:48:09
286.89,London,1007,2024-06-16 22:46:43
290.71,Berlin,1010,2024-06-16 22:43:38
288.32,Berlin,1008,2024-06-15 21:40:44
288.32,Berlin,1008,2024-06-15 21:40:43
288.32,Berlin,1008,2024-06-15 21:40:42
288.32,Berlin,1008,2024-06-15 21:40:40
288.32,Berlin,1008,2024-06-15 21:40:39
288.32,Berlin,1008,2024-06-15 21:40:38
288.32,Berlin,1008,2024-06-15 21:40:37
288.32,Berlin,1008,2024-06-15 21:40:36
288.32,Berlin,1008,2024-06-15 21:40:34
288.32,Berlin,1008,2024-06-15 21:40:33
288.32,Berlin,1008,2024-06-15 21:40:32
288.32,Berlin,1008,2024-06-15 21:40:31
288.32,Berlin,1008,2024-06-15 21:40:30
288.32,Berlin,1008,2024-06-15 21:40:29
288.32,Berlin,1008,2024-06-15 21:40:28
288.32,Berlin,1008,2024-06-15 21:40:27
288.32,Berlin,1008,2024-06-15 21:40:25
288.32,Berlin,1008,2024-06-15 21:40:24
288.32,Berlin,1008,2024-06-15 21:40:23
288.32,Berlin,1008,2024-06-15 21:40:22
288.32,Berlin,1008,2024-06-15 21:40:21
288.32,Berlin,1008,2024-06-15 21:40:20
288.32,Berlin,1008,2024-06-15 21:40:19
288.32,Berlin,1008,2024-06-15 21:40:18
288.32,Berlin,1008,2024-06-15 21:40:17
